2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 36 @@ GetAPIRequestDetail (-)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogRequest @@ ln 13 @@ LogRequest (+)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogRequest @@ ln 25 @@ LogRequest (-)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ GetUserDetails/GetUserInfo.go @@ HOTEL-REGISTRY_API/apps/GetUserDetails.GetUserDetailsAPI @@ ln 38 @@ GetUserDetailsAPI (+)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ GetUserDetails/GetUserInfo.go @@ HOTEL-REGISTRY_API/apps/GetUserDetails.GetUserDetailsAPI @@ ln 118 @@ GetUserDetailsAPI (-)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 73 @@ APIMiddleware (-)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogResponse @@ ln 32 @@ LogResponse (+)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 22 @@ GetAPIRequestDetail (+)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 42 @@ GetHeaderDetails+
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 50 @@ GetHeaderDetails-
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 36 @@ GetAPIRequestDetail (-)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogResponse @@ ln 42 @@ LogResponse (-)
